Set,Card Name,Rarity,Text,Mana Cost,Type,Power,Toughness,CMC,Standard
Unstable,Adorable Kitten,Common,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.",{W},Host,,,1.0,No
Unstable,Aerial Toastmaster,Uncommon,"Flying
{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{3}{W},Artifact,,,4.0,No
Unstable,Amateur Auteur,Common,Sacrifice Amateur Auteur: Destroy target enchantment.,{1}{W},Creature,2,2,2.0,No
Unstable,By Gnome Means,Rare,"{1}{W}, Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token.
{1}{W}, Sacrifice an artifact: Choose any kind of counter a printed card refers to, then put one of that counter on target permanent.",{2}{W},Enchantment,,,3.0,No
Unstable,Chivalrous Chevalier,Common,"Flying
When Chivalrous Chevalier enters the battlefield, return a creature you control to its owner's hand unless you compliment an opponent.",{4}{W},Artifact,,,5.0,No
Unstable,Do-It-Yourself Seraph,Mythic Rare,"Flying
Whenever Do-It-Yourself Seraph attacks, you may search your library for an artifact card, exile it, then shuffle your library.
Do-It-Yourself Seraph has the text box of each card exiled with Do-It-Yourself Seraph in addition to its own.",{4}{W}{W},Artifact,,,6.0,No
Unstable,Gimme Five,Uncommon,You gain 1 life for each person who high-fives you in the next thirty seconds. Each player in a silver-bordered game who high-fives you gains 1 life. (Offer high fives. Don't hit people.),{W},Instant,,,1.0,No
Unstable,GO TO JAIL,Common,"When GO TO JAIL enters the battlefield, exile target creature an opponent controls until GO TO JAIL leaves the battlefield.
At the beginning of the upkeep of the exiled card's owner, that player rolls two six-sided dice. If he or she rolls doubles, sacrifice GO TO JAIL.",{W},Enchantment,,,1.0,No
Unstable,"Half-Kitten, Half-",Uncommon,"Whenever you're dealt damage,
Augment {2}{W} ({2}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,1,2,0.0,No
Unstable,Humming-,Common,"Flying
Whenever you attack with two or more creatures,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,2,3,0.0,No
Unstable,Jackknight,Rare,"Whenever another artifact enters the battlefield under your control, put a +1/+1 counter on Jackknight. If that artifact is a Contraption, Jackknight gains lifelink until end of turn.",{1}{W},Artifact,,,2.0,No
Unstable,Knight of the Kitchen Sink (a),Uncommon,"First strike, protection from black borders (Nothing with a black border can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2.0,No
Unstable,Knight of the Kitchen Sink (b),Uncommon,"First strike, protection from even collector numbers (Nothing with an even collector number can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2.0,No
Unstable,Knight of the Kitchen Sink (c),Uncommon,"First strike, protection from loose lips (Nothing with an open mouth in its artwork can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2.0,No
Unstable,Knight of the Kitchen Sink (d),Uncommon,"First strike, protection from odd collector numbers (Nothing with an odd collector number can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2.0,No
Unstable,Knight of the Kitchen Sink (e),Uncommon,"First strike, protection from two-word names (Nothing with exactly two words in its name can block, target, deal damage to, or attach to this creature. Hyphenated words are one word.)",{W}{W},Artifact,,,2.0,No
Unstable,Knight of the Kitchen Sink (f),Uncommon,"First strike, protection from watermarks (Nothing with a watermark can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2.0,No
Unstable,Knight of the Widget,Uncommon,"Vigilance
Knight of the Widget's power and toughness are each equal to the number of Order of the Widget watermarks among permanents you control.",{2}{W},Artifact,,,3.0,No
Unstable,Midlife Upgrade,Uncommon,"As an additional cost to cast Midlife Upgrade, sacrifice X Contraptions.
Assemble X plus one Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",{3}{W},Sorcery,,,4.0,No
Unstable,Oddly Uneven,Rare,"Choose one â€”
â€¢ Destroy each creature with an odd number of words in its name. (Hyphenated words are one word.)
â€¢ Destroy each creature with an even number of words in its name.",{3}{W}{W},Sorcery,,,5.0,No
Unstable,Old Guard,Common,"{W}, {T}: Tap target creature without reminder text. (Reminder text is still any italicized text in parentheses that explains rules you already know.)",{1}{W},Artifact,,,2.0,No
Unstable,Ordinary Pony,Common,"When this creature enters the battlefield, you may exile target non-Horse creature you control that wasn't put onto the battlefield with this ability this turn, then return it to the battlefield under its owner's control.",{2}{W},Host,,,3.0,No
Unstable,Rhino-,Uncommon,"Whenever this creature blocks,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,1,+,0.0,No
Unstable,Riveting Rigger,Common,"When Riveting Rigger enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Riveting Rigger and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{2}{W},Artifact,,,3.0,No
Unstable,Rules Lawyer,Rare,"State-based actions don't apply to you or other permanents you control. (You don't lose the game due to having 0 or less life or drawing from an empty library. Your creatures aren't destroyed due to damage or deathtouch and aren't put into a graveyard due to having 0 or less toughness. Your planeswalkers aren't put into a graveyard if they have 0 loyalty. You don't put a legendary permanent into a graveyard if you control two with the same name. Counters aren't removed from your permanents due to game rules. Permanents you control attached or combined illegally remain on the battlefield. For complete rules and regulations, see rule 704.)",{3}{W}{W},Artifact,,,5.0,No
Unstable,Sacrifice Play,Common,A person outside the game chooses an attacking or blocking creature target opponent controls. That player sacrifices that creature.,{2}{W},Instant,,,3.0,No
Unstable,Shaggy Camel,Common,"When this creature enters the battlefield, creatures you control get +1/+1 until end of turn.",{3}{W},Host,,,4.0,No
Unstable,Side Quest,Uncommon,"Target player in a silver-bordered game you can see from your seat gains control of target creature you control until your next turn. At the beginning of your next upkeep, put two +1/+1 counters on that creature. (A creature is on the battlefield of only the game its controller is playing.)",{W},Sorcery,,,1.0,No
Unstable,Success!,Common,"Target creature gets +2/+2 until end of turn. If it's a host or has augment, it gains lifelink until end of turn.",{W},Instant,,,1.0,No
Unstable,Teacher's Pet,Uncommon,"{2}{W}, Sacrifice Teacher's Pet: Search your library for a card with augment, combine it with target host you control, then shuffle your library.",{1}{W},Creature,2,1,2.0,No
Unstable,Animate Library,Rare,"Enchant your library
Enchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library.
If enchanted library would leave the battlefield, exile Animate Library instead.",{4}{U}{U},Enchantment,,,6.0,No
Unstable,Blurry Beeble,Common,"Blurry (This creature can be blocked only if defending player was wearing glasses as it was cast.)
Whenever Blurry Beeble deals combat damage to a player, you may draw a card. If you do, discard a card.",{U},Artifact,,,1.0,No
Unstable,Chipper Chopper,Common,"Flying
When Chipper Chopper enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Chipper Chopper and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{3}{U},Artifact,,,4.0,No
Unstable,Clocknapper,Rare,"When Clocknapper enters the battlefield, choose beginning phase, precombat main phase, combat phase, postcombat main phase, or ending phase. Steal that phase from target player during his or her next turn. (That phase occurs as though it's your turn instead.)",{3}{U}{U},Creature,2,2,5.0,No
Unstable,Crafty Octopus,Common,"When this creature enters the battlefield, this creature assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{2}{U},Host,,,3.0,No
Unstable,Crow Storm,Uncommon,"Create a 1/2 blue Bird creature token with flying named Storm Crow.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)",{2}{U},Sorcery,,,3.0,No
Unstable,Defective Detective,Common,"Defective Detective can't be blocked.
When Defective Detective enters the battlefield, a person outside the game looks at target opponent's hand and chooses a card from it. That player reveals that card.",{2}{U},Creature,2,1,3.0,No
Unstable,Five-Finger Discount,Uncommon,Put target nonland permanent into your hand. You may spend mana as though it were mana of any color the next time you cast that card.,{4}{U}{U},Sorcery,,,6.0,No
Unstable,Graveyard Busybody,Rare,"All graveyards are also your graveyards.
Graveyard Busybody's power and toughness are each equal to the number of cards with flavor text in your graveyards.",{4}{U}{U},Creature,*,*,6.0,No
Unstable,"Half-Shark, Half-",Uncommon,"At the beginning of your upkeep,
Augment {5}{U} ({5}{U}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,3,2,0.0,No
Unstable,Incite Insight,Rare,"Assemble X Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",{X}{U}{U},Sorcery,,,2.0,No
Unstable,Kindly Cognician,Uncommon,Spells you cast that refer to artifacts or Contraptions in their rules text cost {1} less to cast.,{1}{U},Artifact,,,2.0,No
Unstable,Magic Word,Common,"Enchant creature
As Magic Word enters the battlefield, choose a word.
Whisper the chosen word: Tap enchanted creature.",{2}{U},Enchantment,,,3.0,No
Unstable,Mer Man,Common,"When this creature enters the battlefield, you may draw a card.",{4}{U},Host,,,5.0,No
Unstable,More or Less,Uncommon,Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.,{U},Instant,,,1.0,No
Unstable,Novellamental,Common,"Flying
Novellamental can block only creatures with flying.",{1}{U},Creature,2,1,2.0,No
Unstable,Numbing Jellyfish,Common,"When this creature enters the battlefield, roll a six-sided die. Target player puts the top X cards of his or her library into his or her graveyard, where X is the result.",{3}{U},Host,,,4.0,No
Unstable,S.N.E.A.K. Dispatcher,Uncommon,"{2}{U}, {T}: Look at the top card of target player's library. If it has an Agents of S.N.E.A.K. watermark, you may reveal it and put it into your hand. Otherwise, put it on the top or bottom of its owner's library.",{1}{U},Creature,2,1,2.0,No
